tag,type,referring,referred
01U5,lemma,1,2
01U6,lemma,1,3
01U7,lemma,1,10
01U8,lemma,1,10
01U9,lemma,1,23
01UA,lemma,3,43
01UD,lemma,5,4
01UE,lemma,1,7
01UF,lemma,2,5
01UG,lemma,2,3
01UH,lemma,3,2
01UI,lemma,3,4
01US,lemma,1,1
01UT,lemma,4,8
01UV,lemma,4,1
01UX,lemma,1,8
01UY,lemma,2,1
01UZ,lemma,2,5
01V0,lemma,1,12
01V1,lemma,2,2
01V2,lemma,4,4
01V3,lemma,4,2
01V6,lemma,5,7
01V7,lemma,2,3
01V8,lemma,1,4
01V9,lemma,11,5
01VA,lemma,3,5
01VB,lemma,3,12
01VD,lemma,1,6
01VF,lemma,2,9
01VJ,lemma,12,9
01VK,lemma,1,1
01VN,lemma,1,4
01VQ,lemma,3,1
01VR,lemma,3,2
01VS,lemma,5,5
01VT,lemma,5,8
01VU,lemma,3,2
01W3,lemma,2,18
01W4,lemma,2,16
01W5,lemma,3,8
01W6,lemma,4,25
01W9,lemma,1,3
01WA,lemma,1,5
01WB,lemma,3,2
01WC,lemma,9,11
01WD,lemma,1,2
01WE,lemma,1,2
01WI,lemma,1,2
01WJ,lemma,2,12
01WK,lemma,2,3
01WL,lemma,1,10
01WM,lemma,4,22
01WN,lemma,2,22
01X9,lemma,4,2
01XB,lemma,3,35
01XC,lemma,3,10
01XD,lemma,2,7
01XF,lemma,4,6
01XG,lemma,3,2
01XI,lemma,5,5
01XJ,lemma,10,10
01XK,lemma,4,5
01XL,lemma,6,2
01XM,lemma,2,2
01XN,lemma,3,1
01XQ,lemma,6,2
01XR,lemma,2,2
01XT,lemma,6,9
01XV,lemma,2,2
01XW,lemma,2,1
01XX,lemma,6,1
01XZ,lemma,9,20
01Y0,lemma,1,4
01Y1,lemma,3,4
01Y2,lemma,2,3
01Y3,lemma,3,1
01Y4,lemma,2,2
01Y5,lemma,3,5
01Y6,lemma,5,7
01Y8,lemma,1,5
01Y9,lemma,1,9
01YA,lemma,1,2
01YB,lemma,7,5
01YD,lemma,2,1
01YE,lemma,6,5
01YF,lemma,4,5
01YG,lemma,1,2
01YH,lemma,2,4
01YI,lemma,2,4
01YJ,lemma,2,1
01YL,lemma,3,1
01YM,lemma,3,2
01YO,lemma,5,2
01YQ,lemma,7,4
01YS,lemma,8,6
01YW,lemma,1,2
01YX,lemma,5,9
01YY,lemma,1,6
01YZ,lemma,2,5
01Z0,lemma,4,7
01Z3,lemma,5,2
01Z5,lemma,5,3
01Z6,lemma,4,15
01Z9,lemma,1,1
01ZA,proposition,1,11
01ZC,proposition,6,5
01ZE,lemma,7,1
01ZG,lemma,4,1
01ZH,lemma,1,1
01ZJ,proposition,2,3
